#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 09 07 01 15 320  4.0  5.0    MM    MM    MM  MM     MM  23.1    MM  15.6   MM   MM    MM
2021 09 07 00 45 330  4.0  5.0    MM    MM    MM  MM     MM  23.3    MM  15.4   MM   MM    MM
2021 09 07 00 15 330  5.0  7.0    MM    MM    MM  MM     MM  23.6    MM  15.8   MM   MM    MM
2021 09 06 23 30 330  5.0  7.0    MM    MM    MM  MM     MM  24.4    MM  16.1   MM   MM    MM
2021 09 06 23 00 300  6.0  9.0    MM    MM    MM  MM     MM  25.5    MM  15.5   MM   MM    MM
2021 09 06 22 30 290  4.0  5.0    MM    MM    MM  MM     MM  25.5    MM  16.3   MM   MM    MM
2021 09 06 22 15 290  4.0  6.0    MM    MM    MM  MM     MM  25.6    MM  16.0   MM   MM    MM
2021 09 06 21 00 280  6.0  8.0    MM    MM    MM  MM     MM  26.5    MM  14.3   MM   MM    MM
2021 09 06 20 30 280  5.0  8.0    MM    MM    MM  MM     MM  26.3    MM  15.2   MM   MM    MM
2021 09 06 20 00 280  7.0 10.0    MM    MM    MM  MM     MM  26.3    MM  14.4   MM   MM    MM
2021 09 06 19 30 260  7.0 10.0    MM    MM    MM  MM     MM  26.2    MM  14.4   MM   MM    MM
2021 09 06 18 45 260  6.0  8.0    MM    MM    MM  MM     MM  26.2    MM  15.6   MM   MM    MM
2021 09 06 18 30 260  5.0  8.0    MM    MM    MM  MM     MM  26.1    MM  16.1   MM   MM    MM
2021 09 06 18 15 260  5.0  7.0    MM    MM    MM  MM     MM  26.1    MM  15.2   MM   MM    MM
2021 09 06 17 30 230  4.0  5.0    MM    MM    MM  MM     MM  25.2    MM  16.9   MM   MM    MM
2021 09 06 17 00 250  4.0  6.0    MM    MM    MM  MM     MM  25.1    MM  15.8   MM   MM    MM
